,MLS Number,Property Type,Status,Unit Number,Unit Number,Street Number,Street Name,City/Location,Zip Code,Subdivision,Market Area,SqrFt_Bin,YrBuilt_Bin,Bedrooms,List Price_x,Rental_estimate,Initial Investment,Annual Income,Annual Cash Flow,Cap Rates,lat,lng
11,95103404.0,Townhouse/Condo,Active,307,307,1011,Studemont,Houston,77007.0,Houston Heights,Rice Military/Washington Corridor,"(430.412, 1180.833]","(2005.0, 2020.0]",1.0,210000.0,1350.0,48300.0,16200.0,-1378.7999999999993,-0.028546583850931662,29.7696278,-95.3919698
12,88229337.0,Townhouse/Condo,Active,301,301,1011,Studemont,Houston,77007.0,Houston Heights,Rice Military/Washington Corridor,"(430.412, 1180.833]","(2005.0, 2020.0]",1.0,210000.0,1350.0,48300.0,16200.0,-1378.7999999999993,-0.028546583850931662,29.7696278,-95.3919698
62,28832399.0,Single-Family,Active,A,A,5903,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,429900.0,2900.0,98877.0,34800.0,-1399.0319999999956,-0.014149215692223627,29.7802046,-95.42910979999999
193,35619298.0,Single-Family,Active,,,1203,Bonner,Houston,77007.0,Vistas De Sevilla Amd Pla,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,445000.0,3000.0,102350.0,36000.0,-1467.5999999999985,-0.014339032730825584,29.7723229,-95.4038745
108,43833137.0,Townhouse/Condo,Active,,,643,Hartman,Houston,77007.0,Park At Hartman,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,385000.0,2575.0,88550.0,30900.0,-1483.7999999999993,-0.01675663466967814,29.76756499999999,-95.39963399999999
17,482506.0,Single-Family,Active,,,1505,Bonner,Houston,77007.0,Koehler,Rice Military/Washington Corridor,"(430.412, 1180.833]","(1915.0, 1930.0]",2.0,265000.0,1725.0,60950.0,20700.0,-1516.199999999999,-0.024876127973748958,29.7743187,-95.4024836
211,93539207.0,Single-Family,Active,,,1106,7th,Houston,77007.0,Park Place/Hts,Heights/Greater Heights,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,460000.0,3100.0,105800.0,37200.0,-1528.7999999999993,-0.014449905482041581,29.7836182,-95.40886549999999
63,73253039.0,Single-Family,Active,A,A,5528,Larkin,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,435000.0,2900.0,100050.0,34800.0,-1774.7999999999993,-0.0177391304347826,29.779289,-95.42166700000001
94,85489009.0,Single-Family,Active,,,2710,Sherwin,Houston,77007.0,Cottage Grove Sec 07,Cottage Grove,"(1180.833, 1913.667]","(2005.0, 2020.0]",3.0,379000.0,2500.0,87170.0,30000.0,-1824.7199999999993,-0.020932889755649872,29.7827302,-95.42617369999999
175,78770298.0,Single-Family,Active,A,A,4402,Schuler,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,469900.0,3133.3333333333335,108077.0,37600.0,-1910.232,-0.017674731904105408,29.773143,-95.4047745
64,34387054.0,Single-Family,Active,A,A,5905,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,437500.0,2900.0,100625.0,34800.0,-1959.0,-0.01946832298136646,29.7802035,-95.4293397
66,8162921.0,Single-Family,Active,A,A,5516,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,439900.0,2900.0,101177.0,34800.0,-2135.8319999999985,-0.021109856983306467,29.780747,-95.42090499999999
